dataset,category,seed,grid,n_query,n_ref,dim,query_sha256,ref_sha256,ref_shape,query_encoded,ref_encoded,reused,query_seconds,ref_seconds,query_shape,features_dir,created_utc
mpdd,bracket_brown,1,"[32, 32]",77,8,384,4e1257855a20fb653cc2bfe196d361098cc00b3c0649578b47fd98587b0f3eb0,af95242ab81e58a9f9089c708c07c68fdead7af62530129a39e8e6d875ed7cf8,"[8, 32, 32, 384]",False,False,True,,,"[77, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:10.542990+00:00
mpdd,bracket_brown,2,"[32, 32]",77,8,384,4e1257855a20fb653cc2bfe196d361098cc00b3c0649578b47fd98587b0f3eb0,83f98f3d82358e621126eafa6fbf7e861f4898582212f478076d26fe1e8305f8,"[8, 32, 32, 384]",False,False,True,,,"[77, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:10.708322+00:00
mpdd,bracket_white,0,"[32, 32]",60,8,384,bc58f19b7533ca88f26301ef3c80bfc4d3f5f912bf96a334623d4cacab02fd0f,b8478f8d6da5a4504130d26cb043519896e86f30c4f6da5ea119f0932afe01b3,"[8, 32, 32, 384]",False,False,True,,,"[60, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:10.833181+00:00
mpdd,bracket_white,1,"[32, 32]",60,8,384,bc58f19b7533ca88f26301ef3c80bfc4d3f5f912bf96a334623d4cacab02fd0f,eaf78169b365d6ae77cc739d0d61a50ebc5b0eb2dec18da3525cdba3111438e4,"[8, 32, 32, 384]",False,False,True,,,"[60, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:10.966089+00:00
mpdd,bracket_white,2,"[32, 32]",60,8,384,bc58f19b7533ca88f26301ef3c80bfc4d3f5f912bf96a334623d4cacab02fd0f,65e053604416437b9b3e8f75204cdcc79f285f0fd34217af4dbe9edcb8898e22,"[8, 32, 32, 384]",False,False,True,,,"[60, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:11.098421+00:00
mpdd,connector,0,"[32, 32]",44,8,384,0bf51514315a195c70a7e6a789a47a7711f64b885ee1dd9b701e1f20bc60895d,8fdcb73965e484c86c651dc7871c9b974e8b09912748f1a8d546fca70e5dceca,"[8, 32, 32, 384]",False,False,True,,,"[44, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:11.202599+00:00
mpdd,connector,1,"[32, 32]",44,8,384,0bf51514315a195c70a7e6a789a47a7711f64b885ee1dd9b701e1f20bc60895d,bd476d3b1e63814c48d1dc1444b33ef59110c16724df9117ff9c9632072784bd,"[8, 32, 32, 384]",False,False,True,,,"[44, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:11.306729+00:00
mpdd,connector,2,"[32, 32]",44,8,384,0bf51514315a195c70a7e6a789a47a7711f64b885ee1dd9b701e1f20bc60895d,372d2dddfcfaade0f8fa3f2b9fbca0723370cf690e3e86204995b94f2902c31a,"[8, 32, 32, 384]",False,False,True,,,"[44, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:11.411830+00:00
mpdd,metal_plate,0,"[32, 32]",97,8,384,5c7dbadb5916519fe9ce7b689a36ccb37c847d9d4f992d5062f8105b109f06ef,7194983b4e8e1425b3ab5d995502f90ee527c1373eb0a4e737f0cf267b26225a,"[8, 32, 32, 384]",False,False,True,,,"[97, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:11.619840+00:00
mpdd,metal_plate,1,"[32, 32]",97,8,384,5c7dbadb5916519fe9ce7b689a36ccb37c847d9d4f992d5062f8105b109f06ef,d720fa06ad4ed4eb240ffa0f5d9e5e0f64cb6fff442ab5d01aab8318795bd285,"[8, 32, 32, 384]",False,False,True,,,"[97, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:11.837831+00:00
mpdd,metal_plate,2,"[32, 32]",97,8,384,5c7dbadb5916519fe9ce7b689a36ccb37c847d9d4f992d5062f8105b109f06ef,1bce59fc13b69865574c68c1eef7c7f20c3ec229f59e8d436da9343d1f2ab0c2,"[8, 32, 32, 384]",False,False,True,,,"[97, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:12.091582+00:00
mpdd,tubes,0,"[32, 32]",101,8,384,193065d5fc7ce1a62d7649f9a26e07453bf53ee0ef3d6d9740d90df34772a6c9,01215f52e0d86f13d92cdd51ce99364c9d76b59010a6ed03d20dbdacf174901d,"[8, 32, 32, 384]",False,False,True,,,"[101, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:12.346042+00:00
mpdd,tubes,1,"[32, 32]",101,8,384,193065d5fc7ce1a62d7649f9a26e07453bf53ee0ef3d6d9740d90df34772a6c9,de85db3897bd17c2d83f477ba06e7c9c56d3b227910d0619dd9b99bcad63dd9a,"[8, 32, 32, 384]",False,False,True,,,"[101, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:12.618629+00:00
mpdd,tubes,2,"[32, 32]",101,8,384,193065d5fc7ce1a62d7649f9a26e07453bf53ee0ef3d6d9740d90df34772a6c9,8128412b4e25fb11ea88ea6fa7fd537cefc8d7f35c5daef2f6550da6a086d119,"[8, 32, 32, 384]",False,False,True,,,"[101, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:12.884860+00:00
