dataset,seed,shot,category,unit_dir,done_json,invariants_pass,n_images,grid,methods_expected,methods_found,methods_missing,nonfinite_arrays,sample_ids_match_canonical,mask_shape_matches_grid,cache_exists,replay_covered,status,notes,extra_keys
mpdd,0,4,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,4,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\connector,True,True,44,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,4,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,4,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\tubes,True,True,101,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,8,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k8\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,8,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k8\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,8,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k8\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,8,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k8\connector,True,True,44,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,8,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k8\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,8,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k8\tubes,True,True,101,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,1,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,1,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,1,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,1,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\connector,True,True,44,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,1,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,1,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\tubes,True,True,101,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,2,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k2\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,2,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k2\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,2,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k2\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,2,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k2\connector,True,True,44,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,2,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k2\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,2,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k2\tubes,True,True,101,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,4,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k4\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,4,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k4\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,4,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k4\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,4,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k4\connector,True,True,44,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,4,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k4\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,4,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k4\tubes,True,True,101,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,8,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k8\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,8,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k8\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,8,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k8\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,8,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k8\connector,True,True,44,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,8,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k8\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,1,8,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k8\tubes,True,True,101,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,1,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k1\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,1,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k1\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,1,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k1\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,1,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k1\connector,True,True,44,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,1,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k1\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,1,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k1\tubes,True,True,101,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,2,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k2\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,2,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k2\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,2,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k2\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,2,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k2\connector,True,True,44,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,2,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k2\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,2,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k2\tubes,True,True,101,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,4,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k4\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,4,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k4\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,4,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k4\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,4,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k4\connector,True,True,44,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,4,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k4\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,4,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k4\tubes,True,True,101,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,8,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k8\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,8,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k8\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,8,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k8\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,8,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k8\connector,True,True,44,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,8,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k8\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,2,8,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s2_k8\tubes,True,True,101,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
btad,0,1,01,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\01,True,True,70,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
btad,0,1,02,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\02,True,True,230,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
