row_key,artefact,keys,aggregation,ci_levels,reported_in
mpdd|study|pixel_auroc|E_TRI_J,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{TRI_J,DUP_J}__pixel_auroc;mpdd_s0_k2__{TRI_J,DUP_J}__pixel_auroc;mpdd_s0_k4__{TRI_J,DUP_J}__pixel_auroc;mpdd_s0_k8__{TRI_J,DUP_J}__pixel_auroc;mpdd_s1_k1__{TRI_J,DUP_J}__pixel_auroc;mpdd_s1_k2__{TRI_J,DUP_J}__pixel_auroc;mpdd_s1_k4__{TRI_J,DUP_J}__pixel_auroc;mpdd_s1_k8__{TRI_J,DUP_J}__pixel_auroc;mpdd_s2_k1__{TRI_J,DUP_J}__pixel_auroc;mpdd_s2_k2__{TRI_J,DUP_J}__pixel_auroc;mpdd_s2_k4__{TRI_J,DUP_J}__pixel_auroc;mpdd_s2_k8__{TRI_J,DUP_J}__pixel_auroc","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|E_TRI_L,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{TRI_L,DUP_L}__pixel_auroc;mpdd_s0_k2__{TRI_L,DUP_L}__pixel_auroc;mpdd_s0_k4__{TRI_L,DUP_L}__pixel_auroc;mpdd_s0_k8__{TRI_L,DUP_L}__pixel_auroc;mpdd_s1_k1__{TRI_L,DUP_L}__pixel_auroc;mpdd_s1_k2__{TRI_L,DUP_L}__pixel_auroc;mpdd_s1_k4__{TRI_L,DUP_L}__pixel_auroc;mpdd_s1_k8__{TRI_L,DUP_L}__pixel_auroc;mpdd_s2_k1__{TRI_L,DUP_L}__pixel_auroc;mpdd_s2_k2__{TRI_L,DUP_L}__pixel_auroc;mpdd_s2_k4__{TRI_L,DUP_L}__pixel_auroc;mpdd_s2_k8__{TRI_L,DUP_L}__pixel_auroc","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|E_BAL_J,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{BAL_J,A1_J}__pixel_auroc;mpdd_s0_k2__{BAL_J,A1_J}__pixel_auroc;mpdd_s0_k4__{BAL_J,A1_J}__pixel_auroc;mpdd_s0_k8__{BAL_J,A1_J}__pixel_auroc;mpdd_s1_k1__{BAL_J,A1_J}__pixel_auroc;mpdd_s1_k2__{BAL_J,A1_J}__pixel_auroc;mpdd_s1_k4__{BAL_J,A1_J}__pixel_auroc;mpdd_s1_k8__{BAL_J,A1_J}__pixel_auroc;mpdd_s2_k1__{BAL_J,A1_J}__pixel_auroc;mpdd_s2_k2__{BAL_J,A1_J}__pixel_auroc;mpdd_s2_k4__{BAL_J,A1_J}__pixel_auroc;mpdd_s2_k8__{BAL_J,A1_J}__pixel_auroc","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|E_BAL_L,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{BAL_L,A1_L}__pixel_auroc;mpdd_s0_k2__{BAL_L,A1_L}__pixel_auroc;mpdd_s0_k4__{BAL_L,A1_L}__pixel_auroc;mpdd_s0_k8__{BAL_L,A1_L}__pixel_auroc;mpdd_s1_k1__{BAL_L,A1_L}__pixel_auroc;mpdd_s1_k2__{BAL_L,A1_L}__pixel_auroc;mpdd_s1_k4__{BAL_L,A1_L}__pixel_auroc;mpdd_s1_k8__{BAL_L,A1_L}__pixel_auroc;mpdd_s2_k1__{BAL_L,A1_L}__pixel_auroc;mpdd_s2_k2__{BAL_L,A1_L}__pixel_auroc;mpdd_s2_k4__{BAL_L,A1_L}__pixel_auroc;mpdd_s2_k8__{BAL_L,A1_L}__pixel_auroc","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|M_A1,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{A1_L,A1_J}__pixel_auroc;mpdd_s0_k2__{A1_L,A1_J}__pixel_auroc;mpdd_s0_k4__{A1_L,A1_J}__pixel_auroc;mpdd_s0_k8__{A1_L,A1_J}__pixel_auroc;mpdd_s1_k1__{A1_L,A1_J}__pixel_auroc;mpdd_s1_k2__{A1_L,A1_J}__pixel_auroc;mpdd_s1_k4__{A1_L,A1_J}__pixel_auroc;mpdd_s1_k8__{A1_L,A1_J}__pixel_auroc;mpdd_s2_k1__{A1_L,A1_J}__pixel_auroc;mpdd_s2_k2__{A1_L,A1_J}__pixel_auroc;mpdd_s2_k4__{A1_L,A1_J}__pixel_auroc;mpdd_s2_k8__{A1_L,A1_J}__pixel_auroc","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|M_TRI,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{TRI_L,TRI_J}__pixel_auroc;mpdd_s0_k2__{TRI_L,TRI_J}__pixel_auroc;mpdd_s0_k4__{TRI_L,TRI_J}__pixel_auroc;mpdd_s0_k8__{TRI_L,TRI_J}__pixel_auroc;mpdd_s1_k1__{TRI_L,TRI_J}__pixel_auroc;mpdd_s1_k2__{TRI_L,TRI_J}__pixel_auroc;mpdd_s1_k4__{TRI_L,TRI_J}__pixel_auroc;mpdd_s1_k8__{TRI_L,TRI_J}__pixel_auroc;mpdd_s2_k1__{TRI_L,TRI_J}__pixel_auroc;mpdd_s2_k2__{TRI_L,TRI_J}__pixel_auroc;mpdd_s2_k4__{TRI_L,TRI_J}__pixel_auroc;mpdd_s2_k8__{TRI_L,TRI_J}__pixel_auroc","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|M_BAL,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{BAL_L,BAL_J}__pixel_auroc;mpdd_s0_k2__{BAL_L,BAL_J}__pixel_auroc;mpdd_s0_k4__{BAL_L,BAL_J}__pixel_auroc;mpdd_s0_k8__{BAL_L,BAL_J}__pixel_auroc;mpdd_s1_k1__{BAL_L,BAL_J}__pixel_auroc;mpdd_s1_k2__{BAL_L,BAL_J}__pixel_auroc;mpdd_s1_k4__{BAL_L,BAL_J}__pixel_auroc;mpdd_s1_k8__{BAL_L,BAL_J}__pixel_auroc;mpdd_s2_k1__{BAL_L,BAL_J}__pixel_auroc;mpdd_s2_k2__{BAL_L,BAL_J}__pixel_auroc;mpdd_s2_k4__{BAL_L,BAL_J}__pixel_auroc;mpdd_s2_k8__{BAL_L,BAL_J}__pixel_auroc","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|M_DUP,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{DUP_L,DUP_J}__pixel_auroc;mpdd_s0_k2__{DUP_L,DUP_J}__pixel_auroc;mpdd_s0_k4__{DUP_L,DUP_J}__pixel_auroc;mpdd_s0_k8__{DUP_L,DUP_J}__pixel_auroc;mpdd_s1_k1__{DUP_L,DUP_J}__pixel_auroc;mpdd_s1_k2__{DUP_L,DUP_J}__pixel_auroc;mpdd_s1_k4__{DUP_L,DUP_J}__pixel_auroc;mpdd_s1_k8__{DUP_L,DUP_J}__pixel_auroc;mpdd_s2_k1__{DUP_L,DUP_J}__pixel_auroc;mpdd_s2_k2__{DUP_L,DUP_J}__pixel_auroc;mpdd_s2_k4__{DUP_L,DUP_J}__pixel_auroc;mpdd_s2_k8__{DUP_L,DUP_J}__pixel_auroc","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|I_TRI,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s0_k2__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s0_k4__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s0_k8__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s1_k1__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s1_k2__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s1_k4__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s1_k8__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s2_k1__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s2_k2__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s2_k4__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc;mpdd_s2_k8__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_auroc","paired per replicate: (left_L - right_L - left_J + right_J) averaged over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
mpdd|study|pixel_auroc|I_BAL,R/p1_statistics/bootstrap_samples.npz,"mpdd_s0_k1__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s0_k2__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s0_k4__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s0_k8__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s1_k1__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s1_k2__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s1_k4__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s1_k8__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s2_k1__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s2_k2__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s2_k4__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc;mpdd_s2_k8__{BAL_L,A1_L,BAL_J,A1_J}__pixel_auroc","paired per replicate: (left_L - right_L - left_J + right_J) averaged over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|E_TRI_J,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{TRI_J,DUP_J}__pixel_ap;btad_s0_k2__{TRI_J,DUP_J}__pixel_ap;btad_s0_k4__{TRI_J,DUP_J}__pixel_ap;btad_s0_k8__{TRI_J,DUP_J}__pixel_ap;btad_s1_k1__{TRI_J,DUP_J}__pixel_ap;btad_s1_k2__{TRI_J,DUP_J}__pixel_ap;btad_s1_k4__{TRI_J,DUP_J}__pixel_ap;btad_s1_k8__{TRI_J,DUP_J}__pixel_ap","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|E_TRI_L,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{TRI_L,DUP_L}__pixel_ap;btad_s0_k2__{TRI_L,DUP_L}__pixel_ap;btad_s0_k4__{TRI_L,DUP_L}__pixel_ap;btad_s0_k8__{TRI_L,DUP_L}__pixel_ap;btad_s1_k1__{TRI_L,DUP_L}__pixel_ap;btad_s1_k2__{TRI_L,DUP_L}__pixel_ap;btad_s1_k4__{TRI_L,DUP_L}__pixel_ap;btad_s1_k8__{TRI_L,DUP_L}__pixel_ap","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|E_BAL_J,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{BAL_J,A1_J}__pixel_ap;btad_s0_k2__{BAL_J,A1_J}__pixel_ap;btad_s0_k4__{BAL_J,A1_J}__pixel_ap;btad_s0_k8__{BAL_J,A1_J}__pixel_ap;btad_s1_k1__{BAL_J,A1_J}__pixel_ap;btad_s1_k2__{BAL_J,A1_J}__pixel_ap;btad_s1_k4__{BAL_J,A1_J}__pixel_ap;btad_s1_k8__{BAL_J,A1_J}__pixel_ap","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|E_BAL_L,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{BAL_L,A1_L}__pixel_ap;btad_s0_k2__{BAL_L,A1_L}__pixel_ap;btad_s0_k4__{BAL_L,A1_L}__pixel_ap;btad_s0_k8__{BAL_L,A1_L}__pixel_ap;btad_s1_k1__{BAL_L,A1_L}__pixel_ap;btad_s1_k2__{BAL_L,A1_L}__pixel_ap;btad_s1_k4__{BAL_L,A1_L}__pixel_ap;btad_s1_k8__{BAL_L,A1_L}__pixel_ap","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|M_A1,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{A1_L,A1_J}__pixel_ap;btad_s0_k2__{A1_L,A1_J}__pixel_ap;btad_s0_k4__{A1_L,A1_J}__pixel_ap;btad_s0_k8__{A1_L,A1_J}__pixel_ap;btad_s1_k1__{A1_L,A1_J}__pixel_ap;btad_s1_k2__{A1_L,A1_J}__pixel_ap;btad_s1_k4__{A1_L,A1_J}__pixel_ap;btad_s1_k8__{A1_L,A1_J}__pixel_ap","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|M_TRI,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{TRI_L,TRI_J}__pixel_ap;btad_s0_k2__{TRI_L,TRI_J}__pixel_ap;btad_s0_k4__{TRI_L,TRI_J}__pixel_ap;btad_s0_k8__{TRI_L,TRI_J}__pixel_ap;btad_s1_k1__{TRI_L,TRI_J}__pixel_ap;btad_s1_k2__{TRI_L,TRI_J}__pixel_ap;btad_s1_k4__{TRI_L,TRI_J}__pixel_ap;btad_s1_k8__{TRI_L,TRI_J}__pixel_ap","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|M_BAL,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{BAL_L,BAL_J}__pixel_ap;btad_s0_k2__{BAL_L,BAL_J}__pixel_ap;btad_s0_k4__{BAL_L,BAL_J}__pixel_ap;btad_s0_k8__{BAL_L,BAL_J}__pixel_ap;btad_s1_k1__{BAL_L,BAL_J}__pixel_ap;btad_s1_k2__{BAL_L,BAL_J}__pixel_ap;btad_s1_k4__{BAL_L,BAL_J}__pixel_ap;btad_s1_k8__{BAL_L,BAL_J}__pixel_ap","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|M_DUP,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{DUP_L,DUP_J}__pixel_ap;btad_s0_k2__{DUP_L,DUP_J}__pixel_ap;btad_s0_k4__{DUP_L,DUP_J}__pixel_ap;btad_s0_k8__{DUP_L,DUP_J}__pixel_ap;btad_s1_k1__{DUP_L,DUP_J}__pixel_ap;btad_s1_k2__{DUP_L,DUP_J}__pixel_ap;btad_s1_k4__{DUP_L,DUP_J}__pixel_ap;btad_s1_k8__{DUP_L,DUP_J}__pixel_ap","paired per replicate: mean over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|I_TRI,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_ap;btad_s0_k2__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_ap;btad_s0_k4__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_ap;btad_s0_k8__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_ap;btad_s1_k1__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_ap;btad_s1_k2__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_ap;btad_s1_k4__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_ap;btad_s1_k8__{TRI_L,DUP_L,TRI_J,DUP_J}__pixel_ap","paired per replicate: (left_L - right_L - left_J + right_J) averaged over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
btad|study|pixel_ap|I_BAL,R/p1_statistics/bootstrap_samples.npz,"btad_s0_k1__{BAL_L,A1_L,BAL_J,A1_J}__pixel_ap;btad_s0_k2__{BAL_L,A1_L,BAL_J,A1_J}__pixel_ap;btad_s0_k4__{BAL_L,A1_L,BAL_J,A1_J}__pixel_ap;btad_s0_k8__{BAL_L,A1_L,BAL_J,A1_J}__pixel_ap;btad_s1_k1__{BAL_L,A1_L,BAL_J,A1_J}__pixel_ap;btad_s1_k2__{BAL_L,A1_L,BAL_J,A1_J}__pixel_ap;btad_s1_k4__{BAL_L,A1_L,BAL_J,A1_J}__pixel_ap;btad_s1_k8__{BAL_L,A1_L,BAL_J,A1_J}__pixel_ap","paired per replicate: (left_L - right_L - left_J + right_J) averaged over the pre-specified conditions, then percentile",0.95 exploratory; 0.9875 family,interaction_aggregate.csv
