dataset,evaluation_revision,metric,kind,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,n_replicates,effect_scale
btad,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.009615188251306833,0.009893391351224816,0.0015637286645325303,0.01803233671232017,-0.00269608239126771,0.01918894244205864,1000,0.005
btad,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008446361606240071,0.009020214178227627,0.0007606234527818415,0.017184510300409458,-0.0026217256729197014,0.018998823396449555,1000,0.005
btad,study,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0013335385043094367,0.0013663331982191544,0.0005715979144845074,0.002109603448392349,0.0004126336805834406,0.0023745118526830693,1000,0.005
btad,study,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0013952912700046366,0.0014387512397825261,0.0005992950038539593,0.0022473105332469884,0.0005031290666528632,0.002532056044986469,1000,0.005
btad,study,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0009627612292820997,0.0009956072205226242,0.0002857894810924272,0.0016468023424297768,0.00015273619157833135,0.0018787109390933938,1000,0.005
btad,study,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.000956896126524262,0.000998834004585244,0.0002609414482211914,0.0017359238435710066,0.00012660303704675204,0.0019480844839762765,1000,0.005
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015527354851135253,0.015688160779935192,0.006367028685327939,0.024649467896461122,0.0013780993534506555,0.02682877613543737,1000,0.005
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015031101986153941,0.015480674823064299,0.005854387729324282,0.024946860316445323,0.001651386243936748,0.02722960586612839,1000,0.005
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.009735432608442687,0.009977388973630411,0.001766585988717051,0.018032366614857832,-0.0022187917931295867,0.01948738312330714,1000,0.005
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008541504681735118,0.009082835673376229,0.0005708053163707421,0.017526380828942038,-0.0022645213126639353,0.019238629374776522,1000,0.005
btad,corrected,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0014385356870761474,0.0006512185268323072,0.002211667436744677,0.00045430933337060365,0.0024586557883295728,1000,0.005
btad,corrected,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0015049652074512947,0.0006700743295145431,0.0023108610168203303,0.0005912433659983995,0.0026209320145924313,1000,0.005
btad,corrected,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0010412026101201757,0.0003483555888393772,0.0016913879290729355,0.00018068195086503452,0.001939558099495453,1000,0.005
btad,corrected,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0010403635608090226,0.00030605534211503797,0.0017261375946512035,0.0001952923625554942,0.0020045159396796515,1000,0.005
