dataset,evaluation_revision,metric,kind,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,n_replicates,effect_scale,form_max_abs_difference,ci95_excludes_zero,ci9875_excludes_zero,reaches_effect_scale
mpdd,study,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0030787687301585633,0.0030489073797752733,0.0017377548076828275,0.004402267614552311,0.0014117383749916695,0.004788809605706341,1000,0.005,,,,
mpdd,study,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.005035553024622182,0.005000317700784315,0.0036818119095843164,0.006319229269944235,0.003348156866679963,0.006794976000689867,1000,0.005,,,,
mpdd,study,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0021713444147291408,0.0021469620400928918,0.001046223461328851,0.003206820550538043,0.0008131211801591666,0.0035635209098348235,1000,0.005,,,,
mpdd,study,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00339317963162016,0.0033619559484357165,0.0023454454577686284,0.0043957638762535355,0.002060992368050896,0.004716578024146563,1000,0.005,,,,
mpdd,study,pixel_auroc,matching_effect,M_A1: A1_L - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0031447606234403236,0.0031447646676367206,0.002463731573762592,0.003866024977679909,0.002341663681441548,0.004140036653628897,1000,0.005,,,,
mpdd,study,pixel_auroc,matching_effect,M_TRI: TRI_L - TRI_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.004162694068781374,0.0041581822464778016,0.003443849694333603,0.004940638402066947,0.003329400567473165,0.005141068814092118,1000,0.005,,,,
mpdd,study,pixel_auroc,matching_effect,M_BAL: BAL_L - BAL_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.004366595840331343,0.0043597585759795445,0.0035834363083923093,0.005185869537566734,0.0034450619995247123,0.005391138729674443,1000,0.005,,,,
mpdd,study,pixel_auroc,matching_effect,M_DUP: DUP_L - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0022059097743177547,0.002206771925468761,0.0016604651420537055,0.0028085046811298763,0.001552534017023119,0.0030577127499547357,1000,0.005,,,,
mpdd,study,pixel_auroc,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0019567842944636185,0.0019514103210090407,0.0016242441213807912,0.002323020645596189,0.0015185744886932855,0.0024103471947432434,1000,0.005,0.0,True,True,False
mpdd,study,pixel_auroc,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0012218352168910191,0.0012149939083428243,0.000918183029119421,0.001523530887375321,0.0008403092569337491,0.0016058134316533613,1000,0.005,0.0,True,True,False
btad,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015346262693690618,0.015540532604626442,0.006346798231615854,0.024461218510733046,0.0006179503946042016,0.02663195806055172,1000,0.005,,,,
btad,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.014868301089907526,0.015343697129549876,0.0061685027691568035,0.02476783798569214,0.0009476458289358356,0.026952267473055656,1000,0.005,,,,
btad,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.009615188251306833,0.009893391351224816,0.0015637286645325303,0.01803233671232017,-0.00269608239126771,0.01918894244205864,1000,0.005,,,,
btad,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008446361606240071,0.009020214178227627,0.0007606234527818415,0.017184510300409458,-0.0026217256729197014,0.018998823396449555,1000,0.005,,,,
btad,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008297535026019251,0.008437430790634071,0.00664896197792529,0.010857808030302694,0.006282906024829254,0.011485769436899385,1000,0.005,,,,
btad,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.005353515045712187,0.005689669182356964,0.0033010740987595975,0.008343820373969319,0.002905380238379851,0.009052251787428125,1000,0.005,,,,
btad,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.007128708380952489,0.007564253617636883,0.004897005771556498,0.010842910147923426,0.004316384944802834,0.011616196448488386,1000,0.005,,,,
btad,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.005831476649495279,0.005886504657433532,0.004703262374815196,0.0072467399381710524,0.004355177166127357,0.007684284328579797,1000,0.005,,,,
btad,study,pixel_ap,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.00047796160378309194,-0.00019683547507656795,-0.0019227440049266326,0.0019221007572745104,-0.002368025349418893,0.0023771744102965516,1000,0.005,0.0,False,False,False
btad,study,pixel_ap,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.0011688266450667617,-0.0008731771729971874,-0.0025778787472930742,0.0010946742773468336,-0.0030021735961079862,0.0017857047340059317,1000,0.005,0.0,False,False,False
btad,study,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0013335385043094367,0.0013663331982191544,0.0005715979144845074,0.002109603448392349,0.0004126336805834406,0.0023745118526830693,1000,0.005,,,,
btad,study,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0013952912700046366,0.0014387512397825261,0.0005992950038539593,0.0022473105332469884,0.0005031290666528632,0.002532056044986469,1000,0.005,,,,
btad,study,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0009627612292820997,0.0009956072205226242,0.0002857894810924272,0.0016468023424297768,0.00015273619157833135,0.0018787109390933938,1000,0.005,,,,
btad,study,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.000956896126524262,0.000998834004585244,0.0002609414482211914,0.0017359238435710066,0.00012660303704675204,0.0019480844839762765,1000,0.005,,,,
btad,study,pixel_auroc,matching_effect,M_A1: A1_L - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0008897415191340546,0.0009067079133072071,0.0007318903742107325,0.00111616531924291,0.0006868961493736492,0.0011663034502428214,1000,0.005,,,,
btad,study,pixel_auroc,matching_effect,M_TRI: TRI_L - TRI_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0007857287967904247,0.0008095740708522928,0.0005225393275737425,0.0011214551200934748,0.00045402970483536114,0.0011922783440152236,1000,0.005,,,,
btad,study,pixel_auroc,matching_effect,M_BAL: BAL_L - BAL_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0008838764163762169,0.0009099346973698269,0.0006154959073080905,0.0012228599104909094,0.0005644261618710347,0.001296296861394402,1000,0.005,,,,
btad,study,pixel_auroc,matching_effect,M_DUP: DUP_L - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0007239760310952248,0.000737156029288921,0.0005947975839052093,0.0009066271736046176,0.000563375803468664,0.0009668411643401433,1000,0.005,,,,
btad,study,pixel_auroc,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,6.175276569519994e-05,7.241804156337173e-05,-0.00015541789278475588,0.0002957053534313275,-0.00020136720172831326,0.00035793766277981395,1000,0.005,0.0,False,False,False
btad,study,pixel_auroc,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-5.865102757837692e-06,3.226784062619781e-06,-0.00019704415707508556,0.0001988758578397441,-0.00024990951943099326,0.0002483347918651644,1000,0.005,0.0,False,False,False
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015527354851135253,0.015688160779935192,0.006367028685327939,0.024649467896461122,0.0013780993534506555,0.02682877613543737,1000,0.005,,,,
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015031101986153941,0.015480674823064299,0.005854387729324282,0.024946860316445323,0.001651386243936748,0.02722960586612839,1000,0.005,,,,
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.009735432608442687,0.009977388973630411,0.001766585988717051,0.018032366614857832,-0.0022187917931295867,0.01948738312330714,1000,0.005,,,,
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008541504681735118,0.009082835673376229,0.0005708053163707421,0.017526380828942038,-0.0022645213126639353,0.019238629374776522,1000,0.005,,,,
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008998126957355648,0.00915804198818277,0.007319064970408073,0.01171719455719124,0.006941165759445136,0.012460567537969513,1000,0.005,,,,
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.005817374420355667,0.006174746876541523,0.0037265968091939523,0.008891778352699891,0.0031575502959961532,0.009530376070126677,1000,0.005,,,,
btad,corrected,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.007804199030648079,0.00826348868792859,0.005407566091914868,0.01170714053315214,0.004934349910400851,0.012690744864200734,1000,0.005,,,,
btad,corrected,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0063136272853369785,0.0063822328334124144,0.005184781087852278,0.00785446429624968,0.004778755951859954,0.00828894474512612,1000,0.005,,,,
btad,corrected,pixel_ap,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.0004962528649813114,-0.0002074859568708924,-0.0019225034150954041,0.0018614765539993498,-0.0023502275667551305,0.0024375756258426784,1000,0.005,0.0,False,False,False
btad,corrected,pixel_ap,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.0011939279267075692,-0.0008945533002541816,-0.002646938053833799,0.0010981250055932526,-0.0030576761819405586,0.0016658564757838403,1000,0.005,0.0,False,False,False
btad,corrected,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0014385356870761474,0.0006512185268323072,0.002211667436744677,0.00045430933337060365,0.0024586557883295728,1000,0.005,,,,
btad,corrected,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0015049652074512947,0.0006700743295145431,0.0023108610168203303,0.0005912433659983995,0.0026209320145924313,1000,0.005,,,,
btad,corrected,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0010412026101201757,0.0003483555888393772,0.0016913879290729355,0.00018068195086503452,0.001939558099495453,1000,0.005,,,,
btad,corrected,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0010403635608090226,0.00030605534211503797,0.0017261375946512035,0.0001952923625554942,0.0020045159396796515,1000,0.005,,,,
btad,corrected,pixel_auroc,matching_effect,M_A1: A1_L - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0009775472167915856,0.0007959133381079307,0.0011856134364294352,0.0007521443225926681,0.0012482596802951174,1000,0.005,,,,
btad,corrected,pixel_auroc,matching_effect,M_TRI: TRI_L - TRI_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0008660375355954441,0.0005729913737377964,0.0011834414480041545,0.000485088770437258,0.001241110082868485,1000,0.005,,,,
btad,corrected,pixel_auroc,matching_effect,M_BAL: BAL_L - BAL_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0009767081674804323,0.000679997563169996,0.0013046151727605202,0.0006123408775140835,0.001353830490573133,1000,0.005,,,,
btad,corrected,pixel_auroc,matching_effect,M_DUP: DUP_L - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0007996080152202969,0.0006429005789136248,0.0009698967425187464,0.0006091059457466526,0.0010223428429950636,1000,0.005,,,,
btad,corrected,pixel_auroc,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,6.642952037514719e-05,-0.00016142817799910008,0.00029058201317921044,-0.00021395206271946526,0.00035385126296162006,1000,0.005,0.0,False,False,False
btad,corrected,pixel_auroc,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,-8.390493111531117e-07,-0.00020151531922597376,0.00019725795447189665,-0.000254007196392174,0.0002436602301817257,1000,0.005,0.0,False,False,False
