method,dataset,seed,shot,frame,n_categories,n_images,bank_s,retrieval_s,run_combined_s,evaluation_s,total_s,peak_gpu_mb,peak_ram_mb,timing_sync,stages,peak_gpu_source,peak_ram_source,measurement,source,note
AnomalyDINO_native_canvas_rotation,btad,1,4,canvas,3,741,4.42,179.0,,16.32,199.74,118.80029296875,1948.2,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_per_category_canvas_rotation.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_rotation,mpdd,0,1,canvas,6,458,2.47,54.27,,8.18,64.92,111.64794921875,1027.5,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_per_category_canvas_rotation.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_rotation,mpdd,0,4,canvas,6,458,8.82,101.2,,8.41,118.43,112.51611328125,1027.5,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_per_category_canvas_rotation.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_rotation,mpdd,1,1,canvas,6,458,2.27,54.39,,8.1,64.76,112.51611328125,1027.5,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_per_category_canvas_rotation.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_rotation,mpdd,1,4,canvas,6,458,8.58,98.96,,8.2,115.74,112.51611328125,1027.5,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_per_category_canvas_rotation.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
PatchCore_native_local128,mvtec,0,1,128x128,15,,,,176.6,29.4,206.0,,6132.1,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_local128.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_local128,mvtec,0,4,128x128,15,,,,157.8,25.0,182.8,,6144.3,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_local128.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_local128,mvtec,1,1,128x128,15,,,,143.8,27.3,171.1,,6148.0,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_local128.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_local128,mvtec,1,4,128x128,15,,,,158.3,35.7,194.0,,6130.4,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_local128.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_local128,visa,0,1,128x128,12,,,,193.6,40.2,233.8,,6203.8,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_local128.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_local128,visa,0,4,128x128,12,,,,155.5,37.9,193.4,,6200.2,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_local128.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_local128,visa,1,1,128x128,12,,,,153.9,37.7,191.6,,6199.4,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_local128.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_local128,visa,1,4,128x128,12,,,,152.5,34.7,187.2,,6194.3,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_local128.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,mpdd,0,1,224x224,6,,,,116.6,25.8,142.4,,6271.8,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,mpdd,0,4,224x224,6,,,,96.4,22.6,119.0,,6273.6,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,mpdd,1,1,224x224,6,,,,92.4,22.3,114.7,,6275.7,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,mpdd,1,4,224x224,6,,,,93.6,22.9,116.5,,6280.4,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,btad,0,1,224x224,3,,,,114.8,39.4,154.2,,8287.9,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,btad,0,4,224x224,3,,,,115.0,39.3,154.3,,8298.2,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,btad,1,1,224x224,3,,,,109.1,39.8,148.9,,8296.3,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,btad,1,4,224x224,3,,,,122.9,44.9,167.8,,8291.6,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,mvtec,0,1,224x224,15,,,,460.0,98.6,558.6,,6764.9,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,visa,0,1,224x224,12,,,,441.7,121.0,562.7,,7037.9,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,mvtec,0,4,224x224,15,,,,306.1,74.4,380.5,,6757.3,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,mvtec,1,1,224x224,15,,,,276.9,78.7,355.6,,6720.4,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,mvtec,1,4,224x224,15,,,,284.3,77.6,361.9,,6729.6,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,visa,0,4,224x224,12,,,,326.4,97.7,424.1,,6994.3,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,visa,1,1,224x224,12,,,,295.2,97.2,392.4,,7029.2,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
PatchCore_native_official224,visa,1,4,224x224,12,,,,302.4,97.6,400.0,,7042.0,process boundaries only: the vendored CLI is a separate process and does not synchronise internally per stage,run (bank + scoring + prediction dump) / separate metrics process,"not available: nvidia-smi --query-compute-apps returns N/A on this driver, and a device-wide value would not be this method's peak",Windows job object PeakProcessMemoryUsed (true peak of the child process),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_state_official224.json,"the vendored CLI does not expose separate bank and scoring timings, so the run is reported as one combined stage rather than guessed apart"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,1,"canvas (correct C-map, study GT)",1,,,7.1,,,7.1,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,1,"canvas (correct C-map, faithful GT)",1,,,7.1,,,7.1,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,1,"canvas (approx C-map, faithful GT)",1,,,10.9,,,10.9,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,1,"canvas (approx C-map, study GT)",1,,,10.9,,,10.9,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,2,"canvas (correct C-map, study GT)",1,,,15.8,,,15.8,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,2,"canvas (correct C-map, faithful GT)",1,,,15.8,,,15.8,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,2,"canvas (approx C-map, faithful GT)",1,,,7.7,,,7.7,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,2,"canvas (approx C-map, study GT)",1,,,7.7,,,7.7,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,4,"canvas (correct C-map, study GT)",1,,,17.1,,,17.1,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
controlled_A1_J/A1_L (BTAD-03 re-score),btad,0,4,"canvas (correct C-map, faithful GT)",1,,,17.1,,,17.1,,,no (the S0b scorer did not synchronise; relative cost only),scoring only,,,partial,01_geometry/btad03_timings.csv,"re-scoring of the eight BTAD-03 units across the geometry variants; the 2026-09-13 matrix run recorded no per-unit timings and they cannot be reconstructed, so the controlled pipeline has no full-matrix cost row"
