dataset,seed,shot,category,group,area_ratio_low,area_ratio_high,n_normal_images,n_abnormal_in_group,descriptive_only
mpdd,0,1,connector,tiny,0.0,0.001,30,0,True
mpdd,0,1,connector,small,0.001,0.01,30,0,True
mpdd,0,1,connector,large,0.01,1.01,30,14,False
mpdd,0,1,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,0,1,metal_plate,small,0.001,0.01,26,0,True
mpdd,0,1,metal_plate,large,0.01,1.01,26,71,False
mpdd,0,1,tubes,tiny,0.0,0.001,32,0,True
mpdd,0,1,tubes,small,0.001,0.01,32,21,False
mpdd,0,1,tubes,large,0.01,1.01,32,48,False
mpdd,0,2,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,0,2,bracket_black,small,0.001,0.01,32,43,False
mpdd,0,2,bracket_black,large,0.01,1.01,32,0,True
mpdd,0,2,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,0,2,bracket_brown,small,0.001,0.01,26,26,False
mpdd,0,2,bracket_brown,large,0.01,1.01,26,17,False
mpdd,0,2,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,0,2,bracket_white,small,0.001,0.01,30,5,True
mpdd,0,2,bracket_white,large,0.01,1.01,30,0,True
mpdd,0,2,connector,tiny,0.0,0.001,30,0,True
mpdd,0,2,connector,small,0.001,0.01,30,0,True
mpdd,0,2,connector,large,0.01,1.01,30,14,False
mpdd,0,2,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,0,2,metal_plate,small,0.001,0.01,26,0,True
mpdd,0,2,metal_plate,large,0.01,1.01,26,71,False
mpdd,0,2,tubes,tiny,0.0,0.001,32,0,True
mpdd,0,2,tubes,small,0.001,0.01,32,21,False
mpdd,0,2,tubes,large,0.01,1.01,32,48,False
mpdd,0,4,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,0,4,bracket_black,small,0.001,0.01,32,43,False
mpdd,0,4,bracket_black,large,0.01,1.01,32,0,True
mpdd,0,4,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,0,4,bracket_brown,small,0.001,0.01,26,26,False
mpdd,0,4,bracket_brown,large,0.01,1.01,26,17,False
mpdd,0,4,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,0,4,bracket_white,small,0.001,0.01,30,5,True
mpdd,0,4,bracket_white,large,0.01,1.01,30,0,True
mpdd,0,4,connector,tiny,0.0,0.001,30,0,True
mpdd,0,4,connector,small,0.001,0.01,30,0,True
mpdd,0,4,connector,large,0.01,1.01,30,14,False
mpdd,0,4,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,0,4,metal_plate,small,0.001,0.01,26,0,True
mpdd,0,4,metal_plate,large,0.01,1.01,26,71,False
mpdd,0,4,tubes,tiny,0.0,0.001,32,0,True
mpdd,0,4,tubes,small,0.001,0.01,32,21,False
mpdd,0,4,tubes,large,0.01,1.01,32,48,False
mpdd,0,8,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,0,8,bracket_black,small,0.001,0.01,32,43,False
mpdd,0,8,bracket_black,large,0.01,1.01,32,0,True
mpdd,0,8,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,0,8,bracket_brown,small,0.001,0.01,26,26,False
mpdd,0,8,bracket_brown,large,0.01,1.01,26,17,False
mpdd,0,8,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,0,8,bracket_white,small,0.001,0.01,30,5,True
mpdd,0,8,bracket_white,large,0.01,1.01,30,0,True
mpdd,0,8,connector,tiny,0.0,0.001,30,0,True
mpdd,0,8,connector,small,0.001,0.01,30,0,True
mpdd,0,8,connector,large,0.01,1.01,30,14,False
mpdd,0,8,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,0,8,metal_plate,small,0.001,0.01,26,0,True
mpdd,0,8,metal_plate,large,0.01,1.01,26,71,False
mpdd,0,8,tubes,tiny,0.0,0.001,32,0,True
mpdd,0,8,tubes,small,0.001,0.01,32,21,False
mpdd,0,8,tubes,large,0.01,1.01,32,48,False
mpdd,1,1,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,1,1,bracket_black,small,0.001,0.01,32,43,False
mpdd,1,1,bracket_black,large,0.01,1.01,32,0,True
mpdd,1,1,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,1,1,bracket_brown,small,0.001,0.01,26,26,False
mpdd,1,1,bracket_brown,large,0.01,1.01,26,17,False
mpdd,1,1,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,1,1,bracket_white,small,0.001,0.01,30,5,True
mpdd,1,1,bracket_white,large,0.01,1.01,30,0,True
mpdd,1,1,connector,tiny,0.0,0.001,30,0,True
mpdd,1,1,connector,small,0.001,0.01,30,0,True
mpdd,1,1,connector,large,0.01,1.01,30,14,False
mpdd,1,1,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,1,1,metal_plate,small,0.001,0.01,26,0,True
mpdd,1,1,metal_plate,large,0.01,1.01,26,71,False
mpdd,1,1,tubes,tiny,0.0,0.001,32,0,True
mpdd,1,1,tubes,small,0.001,0.01,32,21,False
mpdd,1,1,tubes,large,0.01,1.01,32,48,False
mpdd,1,2,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,1,2,bracket_black,small,0.001,0.01,32,43,False
mpdd,1,2,bracket_black,large,0.01,1.01,32,0,True
mpdd,1,2,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,1,2,bracket_brown,small,0.001,0.01,26,26,False
mpdd,1,2,bracket_brown,large,0.01,1.01,26,17,False
mpdd,1,2,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,1,2,bracket_white,small,0.001,0.01,30,5,True
mpdd,1,2,bracket_white,large,0.01,1.01,30,0,True
mpdd,1,2,connector,tiny,0.0,0.001,30,0,True
mpdd,1,2,connector,small,0.001,0.01,30,0,True
mpdd,1,2,connector,large,0.01,1.01,30,14,False
mpdd,1,2,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,1,2,metal_plate,small,0.001,0.01,26,0,True
mpdd,1,2,metal_plate,large,0.01,1.01,26,71,False
mpdd,1,2,tubes,tiny,0.0,0.001,32,0,True
mpdd,1,2,tubes,small,0.001,0.01,32,21,False
mpdd,1,2,tubes,large,0.01,1.01,32,48,False
mpdd,1,4,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,1,4,bracket_black,small,0.001,0.01,32,43,False
mpdd,1,4,bracket_black,large,0.01,1.01,32,0,True
mpdd,1,4,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,1,4,bracket_brown,small,0.001,0.01,26,26,False
mpdd,1,4,bracket_brown,large,0.01,1.01,26,17,False
mpdd,1,4,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,1,4,bracket_white,small,0.001,0.01,30,5,True
mpdd,1,4,bracket_white,large,0.01,1.01,30,0,True
mpdd,1,4,connector,tiny,0.0,0.001,30,0,True
mpdd,1,4,connector,small,0.001,0.01,30,0,True
mpdd,1,4,connector,large,0.01,1.01,30,14,False
mpdd,1,4,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,1,4,metal_plate,small,0.001,0.01,26,0,True
mpdd,1,4,metal_plate,large,0.01,1.01,26,71,False
mpdd,1,4,tubes,tiny,0.0,0.001,32,0,True
mpdd,1,4,tubes,small,0.001,0.01,32,21,False
mpdd,1,4,tubes,large,0.01,1.01,32,48,False
mpdd,1,8,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,1,8,bracket_black,small,0.001,0.01,32,43,False
mpdd,1,8,bracket_black,large,0.01,1.01,32,0,True
mpdd,1,8,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,1,8,bracket_brown,small,0.001,0.01,26,26,False
mpdd,1,8,bracket_brown,large,0.01,1.01,26,17,False
mpdd,1,8,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,1,8,bracket_white,small,0.001,0.01,30,5,True
mpdd,1,8,bracket_white,large,0.01,1.01,30,0,True
mpdd,1,8,connector,tiny,0.0,0.001,30,0,True
mpdd,1,8,connector,small,0.001,0.01,30,0,True
mpdd,1,8,connector,large,0.01,1.01,30,14,False
mpdd,1,8,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,1,8,metal_plate,small,0.001,0.01,26,0,True
mpdd,1,8,metal_plate,large,0.01,1.01,26,71,False
mpdd,1,8,tubes,tiny,0.0,0.001,32,0,True
mpdd,1,8,tubes,small,0.001,0.01,32,21,False
mpdd,1,8,tubes,large,0.01,1.01,32,48,False
mpdd,2,1,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,2,1,bracket_black,small,0.001,0.01,32,43,False
mpdd,2,1,bracket_black,large,0.01,1.01,32,0,True
mpdd,2,1,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,2,1,bracket_brown,small,0.001,0.01,26,26,False
mpdd,2,1,bracket_brown,large,0.01,1.01,26,17,False
mpdd,2,1,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,2,1,bracket_white,small,0.001,0.01,30,5,True
mpdd,2,1,bracket_white,large,0.01,1.01,30,0,True
mpdd,2,1,connector,tiny,0.0,0.001,30,0,True
mpdd,2,1,connector,small,0.001,0.01,30,0,True
mpdd,2,1,connector,large,0.01,1.01,30,14,False
mpdd,2,1,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,2,1,metal_plate,small,0.001,0.01,26,0,True
mpdd,2,1,metal_plate,large,0.01,1.01,26,71,False
mpdd,2,1,tubes,tiny,0.0,0.001,32,0,True
mpdd,2,1,tubes,small,0.001,0.01,32,21,False
mpdd,2,1,tubes,large,0.01,1.01,32,48,False
mpdd,2,2,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,2,2,bracket_black,small,0.001,0.01,32,43,False
mpdd,2,2,bracket_black,large,0.01,1.01,32,0,True
mpdd,2,2,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,2,2,bracket_brown,small,0.001,0.01,26,26,False
mpdd,2,2,bracket_brown,large,0.01,1.01,26,17,False
mpdd,2,2,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,2,2,bracket_white,small,0.001,0.01,30,5,True
mpdd,2,2,bracket_white,large,0.01,1.01,30,0,True
mpdd,2,2,connector,tiny,0.0,0.001,30,0,True
mpdd,2,2,connector,small,0.001,0.01,30,0,True
mpdd,2,2,connector,large,0.01,1.01,30,14,False
mpdd,2,2,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,2,2,metal_plate,small,0.001,0.01,26,0,True
mpdd,2,2,metal_plate,large,0.01,1.01,26,71,False
mpdd,2,2,tubes,tiny,0.0,0.001,32,0,True
mpdd,2,2,tubes,small,0.001,0.01,32,21,False
mpdd,2,2,tubes,large,0.01,1.01,32,48,False
mpdd,2,4,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,2,4,bracket_black,small,0.001,0.01,32,43,False
mpdd,2,4,bracket_black,large,0.01,1.01,32,0,True
mpdd,2,4,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,2,4,bracket_brown,small,0.001,0.01,26,26,False
mpdd,2,4,bracket_brown,large,0.01,1.01,26,17,False
mpdd,2,4,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,2,4,bracket_white,small,0.001,0.01,30,5,True
mpdd,2,4,bracket_white,large,0.01,1.01,30,0,True
mpdd,2,4,connector,tiny,0.0,0.001,30,0,True
mpdd,2,4,connector,small,0.001,0.01,30,0,True
mpdd,2,4,connector,large,0.01,1.01,30,14,False
mpdd,2,4,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,2,4,metal_plate,small,0.001,0.01,26,0,True
mpdd,2,4,metal_plate,large,0.01,1.01,26,71,False
mpdd,2,4,tubes,tiny,0.0,0.001,32,0,True
mpdd,2,4,tubes,small,0.001,0.01,32,21,False
mpdd,2,4,tubes,large,0.01,1.01,32,48,False
mpdd,2,8,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,2,8,bracket_black,small,0.001,0.01,32,43,False
mpdd,2,8,bracket_black,large,0.01,1.01,32,0,True
mpdd,2,8,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,2,8,bracket_brown,small,0.001,0.01,26,26,False
mpdd,2,8,bracket_brown,large,0.01,1.01,26,17,False
mpdd,2,8,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,2,8,bracket_white,small,0.001,0.01,30,5,True
mpdd,2,8,bracket_white,large,0.01,1.01,30,0,True
mpdd,2,8,connector,tiny,0.0,0.001,30,0,True
mpdd,2,8,connector,small,0.001,0.01,30,0,True
mpdd,2,8,connector,large,0.01,1.01,30,14,False
mpdd,2,8,metal_plate,tiny,0.0,0.001,26,0,True
mpdd,2,8,metal_plate,small,0.001,0.01,26,0,True
mpdd,2,8,metal_plate,large,0.01,1.01,26,71,False
mpdd,2,8,tubes,tiny,0.0,0.001,32,0,True
mpdd,2,8,tubes,small,0.001,0.01,32,21,False
mpdd,2,8,tubes,large,0.01,1.01,32,48,False
